event,latitude,longitude,startDate,startHour,endDate,gMapsLink,regLink,type,description
Franke - Faber,45.4723644,9.1845623,15/04/2024,,21/04/2024,https://www.google.com/maps/search/?api=1&query=Via+Pontaccio+18+Milano,,Design,
Under the yellow tree,45.4661897,9.1783767,15/04/2024,,21/04/2024,https://www.google.com/maps/search/?api=1&query=Corso+magenta+24+Milano,,Design,
Porno chic,45.4576831,9.1772962,15/04/2024,,21/04/2024,https://www.google.com/maps/search/?api=1&query=Via+Conca+del+Naviglio+10,,Design,
EARTHIC® LAB X FORMAFANTASMA,45.464175,9.1945551,15/04/2024,,21/04/2024,"https://www.google.com/maps/search/?api=1&query=P.za+Cesare+Beccaria,+8,+20122+Milano+MI",,Design,
CECI N’EST PAS UNE SALLE À MANGER,45.4689591,9.1992671,15/04/2024,,21/04/2024,"https://www.google.com/maps/search/?api=1&query=Corso+Venezia+21/A,+Milano",,Design,
Lines of flight - Porsche,45.4668603,9.1871922,16/04/2024,,20/04/2024,"https://www.google.com/maps/search/?api=1&query=Via+Clerici,+5,+20121+Milano+MI",,Design,
NM3,45.4859368,9.1820037,15/04/2024,,21/04/2024,"https://www.google.com/maps/search/?api=1&query=Via+farini+93,+Milano",,Design,
Mutina X Bouroullec,45.4737357,9.1897107,15/04/2024,,21/04/2024,https://www.google.com/maps/search/?api=1&query=Via+Cernaia+1/A,https://www.eventbrite.it/e/mutina-milan-design-week-2024-tickets-862911229717?aff=oddtdtcreator,Design,
Tempesta Gallery,45.475415,9.1930383,14/04/2024,,21/04/2024,"https://www.google.com/maps/search/?api=1&query=Piazza+Sant'Angelo+2,+Milano",,Design,
1st Ikea,45.451368,9.1610367,15/04/2024,,21/04/2024,"https://www.google.com/maps/search/?api=1&query=Via+Tortona+58,+Milano",,Serata,"Programming below:
Tuesday 16th | Threes productions presents Lorenzo Senni (djset) w/ RPM & Yas reven Wednesday 17th | Burro Studio Radio presents Bulma Brief w/ Acidgigi & Riccardo BHI Thursday 18th | Akeem presents Erica Gal w/ Marvely, Miro & Davide Dev Friday 19th | Ciao! Discoteca Italiana Saturday 20th | Slipmode presents ninafterdark, acideyes, Amazon, Miss jay & Sukubratz"
Design variations,45.4540157,9.1740599,15/04/2024,,21/04/2024,"https://www.google.com/maps/search/?api=1&query=Viale+Gorizia+14,++Milano",,Design,"Bella location, evento non so"
CONTRASTO,45.4688805,9.203726,16/04/2024,,20/04/2024,"https://www.google.com/maps/search/?api=1&query=Via+Vivaio+7,+Milano",,Design,
Google - Making sense of color,45.4977372,9.382199,15/04/2024,,21/04/2024,"https://www.google.com/maps/search/?api=1&query=Via+Archimede+26,+Milano",,Design,
Is one life enough,45.495177,9.183217,,,,"https://www.google.com/maps/search/?api=1&query=Via+Valtellina+5,+Milano",,design,Circolarità
Alcova,45.59724695,9.148806003,15/04/2024,,21/04/2024,"https://www.google.com/maps/search/?api=1&query=Via+Umberto+I,+148,+20814+Varedo+MB",,Design,Sta affanculo
Opposites United: Intersections Beyond Boundaries,45.406194,9.0439028,15/04/2024,,21/04/2024,"https://www.google.com/maps/search/?api=1&query=Via+Turati+34,+Milano",,Design,Ci sono dj set a seconda del giorno
Emotions of the sun,45.470909,9.1970514,15/04/2024,,21/04/2024,"https://www.google.com/maps/search/?api=1&query=Via+senato+14,+Milano",,Serata,
One shot (serata),45.440858,9.1692032,18/04/2024,,18/04/2024,"https://www.google.com/maps/search/?api=1&query=Via+rimini+38,+Milano",https://dice.fm/event/dyv5q-arca-design-week-one-shot-18th-apr-arca-milano-tickets,Serata,Line up non dichiarata
Vero,45.4784878,9.2041608,18/04/2024,,18/04/2024,"https://www.google.com/maps/search/?api=1&query=Via+felice+casati+3,+Milano",,Serata,
